output,article_r2,article_mae,wide_r2,wide_mae,r2_difference_wide_minus_article,mae_difference_wide_minus_article
rho_pol,0.9621453212288705,0.024486494158211563,0.9718693669401736,0.01902981505980003,0.009724045711303031,-0.005456679098411531
R,0.8880176566304281,0.0021552846388659,0.9162754719422299,0.0018307225972981921,0.028257815311801826,-0.00032456204156770764
Z,0.9782760291738446,0.008570108338527473,0.9839611799730823,0.006269320548867026,0.005685150799237704,-0.0023007877896604476
CD_eta,0.8996478695728534,0.003756022928479662,0.9769953030634452,0.002032622917918948,0.07734743349059181,-0.0017234000105607141
w_cd,0.6273919742112005,0.028339845085348342,0.6756243399680706,0.025773103870947115,0.048232365756870066,-0.002566741214401227
